txn_nm,nom_ty,state_ab,div_nm,ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,occupation,address_1,address_2,postcode,suburb,address_state_ab,contact_work_ph,contact_home_ph,postal_address_1,postal_address_2,postal_suburb,postal_postcode,contact_fax,postal_state_ab,contact_mobile_no,contact_email
,S,WA,,A,1,MESZAROS,Tibor,The Wikileaks Party,,,,,,,,,,,,,,,,
,S,WA,,A,2,NICOL,Lucy,The Wikileaks Party,,,,,,,,,,,,,,,,
,S,WA,,B,1,VAN STYN,Shane,The Nationals,,,,,,,,,,,,,,,,
,S,WA,,B,2,DE GRUSSA,Colin Stephen,The Nationals,,,,,,,,,,,,,,,,
,S,WA,,C,1,WOOLF,Russell,,,,,,,,,,,,,,,,,
,S,WA,,C,2,JAMES,Verity,,,,,,,,,,,,,,,,,
,S,WA,,D,1,FERNANDEZ,Chris,Australian Democrats,,,,,,,,,,,,,,,,
,S,WA,,D,2,THIEL,William,Australian Democrats,,,,,,,,,,,,,,,,
,S,WA,,E,1,BOYD,Fletcher,Pirate Party,,,,,,,,,,,,,,,,
,S,WA,,E,2,ALLEN,Michelle,Pirate Party,,,,,,,,,,,,,,,,
,S,WA,,F,1,BULLOCK,Joe,Australian Labor Party,,,,,,,,,,,,,,,,
,S,WA,,F,2,PRATT,Louise,Australian Labor Party,,,,,,,,,,,,,,,,
,S,WA,,F,3,HILL,Shane,Australian Labor Party,,,,,,,,,,,,,,,,
,S,WA,,F,4,ANDRIC,Klara,Australian Labor Party,,,,,,,,,,,,,,,,
,S,WA,,G,1,HOWLETT,Richie,Australian Motoring Enthusiast Party,,,,,,,,,,,,,,,,
,S,WA,,G,2,ZANDVLIET,Rob,Australian Motoring Enthusiast Party,,,,,,,,,,,,,,,,
,S,WA,,H,1,KOUTALIANOS,Bill,Freedom and Prosperity Party,,,,,,,,,,,,,,,,
,S,WA,,H,2,ASHBY,Leon,Freedom and Prosperity Party,,,,,,,,,,,,,,,,
,S,WA,,I,1,NITSCHKE,Philip,Voluntary Euthanasia Party,,,,,,,,,,,,,,,,
,S,WA,,I,2,DUFFIELD,Jim,Voluntary Euthanasia Party,,,,,,,,,,,,,,,,
,S,WA,,J,1,FRYAR,Jim,Liberal Democrats,,,,,,,,,,,,,,,,
,S,WA,,J,2,HAMILTON,Neil,Liberal Democrats,,,,,,,,,,,,,,,,
,S,WA,,K,1,PARKES,Brian W,Australian Voice Party,,,,,,,,,,,,,,,,
,S,WA,,K,2,BUTLER,Sean,Australian Voice Party,,,,,,,,,,,,,,,,
,S,WA,,L,1,BEZANT,Ken,Building Australia Party,,,,,,,,,,,,,,,,
,S,WA,,L,2,SMEE,Daniel Ross,Building Australia Party,,,,,,,,,,,,,,,,
,S,WA,,M,1,FELS,Anthony James,Mutual Party,,,,,,,,,,,,,,,,
,S,WA,,M,2,CHANDRA,Felly,Mutual Party,,,,,,,,,,,,,,,,
,S,WA,,N,1,ROSE,Linda,Family First Party,,,,,,,,,,,,,,,,
,S,WA,,N,2,HENG,Henry,Family First Party,,,,,,,,,,,,,,,,
,S,WA,,O,1,STRACHAN,Peter,#Sustainable Population Party,,,,,,,,,,,,,,,,
,S,WA,,O,2,BOURKE,William,#Sustainable Population Party,,,,,,,,,,,,,,,,
,S,WA,,P,1,WANG,Zhenya,Palmer United Party,,,,,,,,,,,,,,,,
,S,WA,,P,2,HEADLAND,Desmond John,Palmer United Party,,,,,,,,,,,,,,,,
,S,WA,,P,3,TERBLANCHE,Chamonix,Palmer United Party,,,,,,,,,,,,,,,,
,S,WA,,Q,1,DROPULICH,Wayne,Australian Sports Party,,,,,,,,,,,,,,,,
,S,WA,,Q,2,LACKOVIC,Al,Australian Sports Party,,,,,,,,,,,,,,,,
,S,WA,,R,1,JOHNSTON,David,Liberal,,,,,,,,,,,,,,,,
,S,WA,,R,2,CASH,Michaelia,Liberal,,,,,,,,,,,,,,,,
,S,WA,,R,3,REYNOLDS,Linda,Liberal,,,,,,,,,,,,,,,,
,S,WA,,R,4,BROCKMAN,Slade,Liberal,,,,,,,,,,,,,,,,
,S,WA,,S,1,BOW,Murray,Shooters and Fishers,,,,,,,,,,,,,,,,
,S,WA,,S,2,PARKES,John,Shooters and Fishers,,,,,,,,,,,,,,,,
,S,WA,,T,1,MOYLAN,James M,Help End Marijuana Prohibition (HEMP) Party,,,,,,,,,,,,,,,,
,S,WA,,T,2,MOYLAN,Tayla,Help End Marijuana Prohibition (HEMP) Party,,,,,,,,,,,,,,,,
,S,WA,,U,1,ANDERSON,Marcus,Republican Party of Australia,,,,,,,,,,,,,,,,
,S,WA,,U,2,HOLLICK,Rohan,Republican Party of Australia,,,,,,,,,,,,,,,,
,S,WA,,V,1,KATZ-BARBER,Max,Smokers Rights,,,,,,,,,,,,,,,,
,S,WA,,V,2,DI RADO,Daniel Jay,Smokers Rights,,,,,,,,,,,,,,,,
,S,WA,,W,1,McCARTHY,Daniel,Australian Fishing and Lifestyle Party,,,,,,,,,,,,,,,,
,S,WA,,W,2,WYATT,Suzzanne,Australian Fishing and Lifestyle Party,,,,,,,,,,,,,,,,
,S,WA,,X,1,MORAN,Ray,Australian Christians,,,,,,,,,,,,,,,,
