2019 Federal Election Senate Candidates [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-26T21:52:24 Cycle:7a9370cf-5a1e-4422-bc6c-efba9e5f17c1 Created:2019-05-26T21:50:30 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
QLD,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,33613,ABSOLON,Mark,N,N
SA,HMP,Help End Marijuana Prohibition (HEMP) Party,33096,ADAMS,Angela,N,N
SA,GAP,The Great Australian Party,33465,ALDRIDGE,Mark,N,N
SA,CEC,Citizens Electoral Council,32502,ALLWOOD,Sean,N,N
ACT,SPP,Sustainable Australia,32256,ANGEL,Joy,N,N
QLD,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,33603,ANNING,Fraser,N,Y
SA,LP,Liberal,33176,ANTIC,Alex,N,N
WA,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,32449,ARCHIBALD,David,N,N
NSW,PIR,Pirate Party,33544,AUGUST,John,N,N
NSW,ALP,Labor,33439,AYRES,Tim,N,N
VIC,SOL,Climate Action! Immigration Action! Accountable Politicians!,32171,AYTON,Philip John,N,N
VIC,ACP,Australian Conservatives,32099,BAILEY,Kevin,N,N
NSW,IND,Independent,32078,BAKER,Phil,N,N
NSW,HMP,Help End Marijuana Prohibition (HEMP) Party,33636,BALDERSTONE,Michael,N,N
NSW,LAOL,Love Australia or Leave,33154,BARBER,Russell,N,N
VIC,GVIC,The Greens (VIC),32322,BARNES,Alice,N,N
WA,SPP,Sustainable Australia,32471,BARTLETT,Yasmin Maree,N,N
QLD,UAPP,United Australia Party,32767,BATZKE,Yodie,N,N
TAS,ABFA,Australian Better Families,32970,BECK,Greg,N,N
NSW,IND,Independent,33655,BELL,Wayne Lyndsay,N,N
NSW,AJP,Animal Justice Party,32913,BELLENGER,Carol,N,N
NSW,UAPP,United Australia Party,32935,BERNIER,Christine Pamela,N,N
QLD,GRN,The Greens,33068,BERTRAM,Miranda,N,N
VIC,IND,Independent,33660,BETTS,Kenneth Gordon,N,N
TAS,AJP,Animal Justice Party,32804,BEVIS,Karen Louise,N,N
TAS,ALP,Australian Labor Party,32586,BILYK,Catryna,N,Y
ACT,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,33584,BIRKETT,Scott,N,N
WA,NP,The Nationals,32733,BLAKE,Siobhan,N,N
NSW,ASP,"Shooters, Fishers and Farmers",32755,BORSAK,Wayne,N,N
NSW,ACP,Australian Conservatives,32119,BOSI,Riccardo,N,N
SA,XEN,Centre Alliance,33067,BOSSIE,Craig,N,N
WA,LP,Liberal,33393,BOTHA,Trischa,N,N
NSW,SPP,Sustainable Australia,32971,BOURKE,William,N,N
VIC,DLP,Labour DLP,32445,BOWDEN,Jennifer A,N,N
NSW,ICAN,Independents For Climate Action Now,32154,BOWER,Rod,N,N
QLD,AWP,Australian Workers Party,33628,BRADLEY,Gregory John,N,N
WA,WAP,WESTERN AUSTRALIA PARTY,33365,BRADLEY,Rod,N,N
NSW,LP,Liberal,33051,BRAGG,Andrew,N,N
WA,ACP,Australian Conservatives,32176,BRAZIER,Matt,N,N
VIC,DLP,Labour DLP,32454,BREAKWELL,Kathryn,N,N
QLD,UAPP,United Australia Party,32764,BREWSTER,Martin David,N,N
VIC,PIR,Pirate Party,32963,BRIESE,Tania,N,N
WA,LP,Liberal,33383,BROCKMAN,Slade,N,Y
TAS,ALP,Australian Labor Party,32578,BROWN,Carol,N,Y
VIC,ALA,Yellow Vest Australia,33606,BROWN,Siobhann,N,N
QLD,LDP,Liberal Democrats,33593,BUCKLEY,Gabe,N,N
NSW,AUD,Australian Democrats,32673,BUCKMAN,Chris,N,N
QLD,SOL,Climate Action! Immigration Action! Accountable Politicians!,32331,BULLEN,Kris,N,N
NSW,GAP,The Great Australian Party,33301,BURGE,Karen,N,N
NT,CLP,Country Liberals (NT),33006,BURGOYNE,Joshua,N,N
NSW,IMO,Involuntary Medication Objectors (Vaccination/Fluoride) Party,33315,BURNUM BURNUM,Marelle,N,N
SA,AUD,Australian Democrats,33073,BURROW,Tim,N,N
NSW,UAPP,United Australia Party,32933,BURSTON,Brian,N,Y
NSW,CEC,Citizens Electoral Council,32142,BUTLER,Robert,N,N
TAS,ASP,"Shooters, Fishers and Farmers",33018,BYFIELD,Rebecca Anthea,N,N
WA,GRN,The Greens (WA),32166,CAHILL,Jordan Louise,N,N
QLD,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,33615,CAMERON,Brad,N,N
VIC,ON,Pauline Hanson's One Nation,32179,CAMERON,Ian John,N,N
VIC,GVIC,The Greens (VIC),32330,CAMERON,Judy,N,N
QLD,LNP,Liberal National Party of Queensland,33223,CAMM,Amanda,N,N
WA,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,32452,CAMPBELL,Meredith Melinda,N,N
NT,CEC,Citizens Electoral Council,32936,CAMPBELL,Trudy,N,N
WA,IND,Independent,32268,CAREW-HOPKINS,Brian,N,N
NSW,IND,Independent,33659,CARMICHAEL,John William,N,N
